id,book_id,member_id,copy_code,loan_date,date_returned,status
,10974,36,MRT0572,3/6/2017,3/13/2017,1
,14510,36,z001513,3/8/2017,3/15/2017,1
,5129,37,005apr17am,11/8/2018,11/15/2018,1
,7338,37,255peb17as,11/8/2018,11/15/2018,1
,11220,37,MRT0716,11/8/2018,11/23/2018,1
,30,38,009jun17ah,9/30/2019,10/14/2019,1
,4383,38,OKT000104,9/22/2019,10/7/2019,1
,4568,38,M16.105,10/20/2019,10/28/2019,1
,7923,38,382mar17am,9/30/2019,10/14/2019,1
,16028,38,006jul17as,9/22/2019,10/7/2019,1
,18823,38,B022995,10/20/2019,10/28/2019,1
,20050,38,ABC11689,10/14/2019,10/28/2019,1
,4279,39,MRT0727,2/18/2016,2/25/2016,1
,28755,39,MEI3608,2/18/2016,2/25/2016,1
,22,40,ju.997,8/22/2019,9/5/2019,1
,487,40,1AB2794,10/30/2017,11/6/2017,1
,4087,40,OKT000567,11/9/2018,11/16/2018,1
,5064,40,OKT004046,9/13/2017,9/20/2017,1
,5064,40,OKT004953,10/30/2017,11/6/2017,1
,16684,40,OKT001324,10/30/2017,11/14/2017,1
,19318,40,OKT000414,11/9/2018,11/16/2018,1
,4686,41,J16.352,9/26/2016,10/3/2016,1
,28049,41,10798,6/13/2017,6/20/2017,1
,4539,42,OKT003109,2/18/2016,2/25/2016,1
,5120,42,OKT003801,1/27/2016,2/3/2016,1
,7033,42,B021757  ,2/2/2016,2/9/2016,1
,7033,42,MRT0095,2/18/2016,2/25/2016,1
,11469,42,B021788  ,2/18/2016,2/25/2016,1
,14717,42,N15.328,2/18/2016,2/25/2016,1
,36,43,515NOVAH,9/23/2019,10/7/2019,1
,2491,43,OKT001638,10/5/2019,10/14/2019,1
,3540,43,D15.018,10/31/2018,11/7/2018,1
,3573,43,181jan17AM,4/23/2019,5/6/2019,1
,3763,43,OKT004450,2/7/2019,2/20/2019,1
,5355,43,S021914,9/23/2019,10/7/2019,1
,5693,43,JUN.042,8/23/2018,9/6/2018,1
,5693,43,JUN.042,9/26/2018,10/10/2018,1
,5693,43,okt004583,8/27/2019,9/9/2019,1
,8218,43,OKT003599,11/8/2018,11/24/2018,1
,12393,43,J16.956,10/31/2018,11/7/2018,1
,15237,43,N15.938,9/26/2018,10/10/2018,1
,15461,43,OKT003374,10/10/2018,10/24/2018,1
,15462,43,MEI.299,8/23/2018,9/6/2018,1
,15462,43,MEI.377,9/12/2018,9/25/2018,1
,15462,43,MEI.439,12/5/2018,12/16/2018,1
,15463,43,454FEB17AH,9/26/2018,10/10/2018,1
,15463,43,454feb17ah,10/24/2018,11/6/2018,1
,15463,43,454FEB17AH,11/22/2018,11/29/2018,1
,17243,43,A4612,4/23/2019,5/6/2019,1
,17766,43,N15.398,9/17/2018,9/24/2018,1
,17808,43,OKT003431,10/16/2019,10/29/2019,1
,18570,43,NO17028,10/18/2018,10/25/2018,1
,19714,43,528peb17am,10/24/2018,10/31/2018,1
,27751,43,BRC1171,8/23/2018,8/30/2018,1
,29755,43,S020377,8/27/2019,9/9/2019,1
,9484,44,OKT000835,2/16/2016,2/23/2016,1
,12578,44,MEI2962,9/14/2016,9/21/2016,1
,14967,44,MRT1090,3/14/2016,3/21/2016,1
,17179,44,B023223  ,3/14/2016,3/21/2016,1
,27596,44,Z004158,9/14/2016,9/21/2016,1
,9908,45,107NOV17AH,9/6/2018,9/19/2018,1
,9908,45,OKT001884,10/10/2018,10/17/2018,1
,11059,45,m16.504,8/27/2019,9/10/2019,1
,12082,45,F16.393,9/17/2018,9/24/2018,1
,12082,45,F16.393,11/28/2018,12/5/2018,1
,17570,45,CBA4132,9/7/2018,9/14/2018,1
,24484,45,1AB1315,9/7/2018,9/14/2018,1
,26,46,D15.149,4/10/2019,4/18/2019,1
,2744,46,N15.675,3/6/2019,3/20/2019,1
,3023,46,Z006620,2/11/2019,2/18/2019,1
